SSC,Suburb,Population
10001,Abbotsbury,4199
10002,Abbotsford (NSW),5110
10003,Abercrombie,1005
10004,Aberdare,2415
10005,Aberdeen (NSW),2041
10006,Aberfoyle,232
10007,Aberglasslyn,2858
10008,Abermain,2322
10009,Abernethy,219
10010,Acacia Gardens,3682
10011,Adaminaby,228
10012,Adamstown,5646
10013,Adamstown Heights,5162
10014,Adelong,884
10015,Agnes Banks,831
10016,Airds,3500
10017,Akolele,131
10018,Albion Park,12862
10019,Albion Park Rail,6996
10020,Albury,4944
10021,Aldavilla,1154
10022,Alexandria,7050
10023,Alfords Point,3307
10024,Alison (Dungog - NSW),291
10025,Allambie Heights,6727
10026,Allandale (NSW),306
10027,Allawah,5362
10028,Allgomera,150
10029,Allworth,196
10030,Allynbrook,218
10031,Alstonvale,426
10032,Alstonville,5642
10033,Alumy Creek,154
10034,Ambarvale,7227
10035,Angledale,276
10036,Anglers Reach,357
10037,Angourie,184
10038,Anna Bay,3725
10039,Annandale (NSW),8665
10040,Annangrove,1364
10041,Appin (NSW),1801
10042,Apsley (NSW),56
10043,Arakoon,509
10044,Araluen (NSW),296
10045,Arcadia (NSW),1305
10046,Arcadia Vale,1382
10047,Arding,279
10048,Ardlethan,365
10049,Argenton,1370
10050,Argents Hill,388
10051,Ariah Park,689
10052,Armatree,281
10053,Armidale,22487
10054,Arncliffe,8419
10056,Arrawarra,518
10057,Arrawarra Headland,468
10058,Artarmon,8626
10059,Ashbury,3127
10060,Ashby (NSW),348
10061,Ashby Heights,289
10062,Ashcroft,3306
10063,Ashfield (NSW),22183
10064,Ashford (NSW),881
10065,Ashley,340
10066,Ashmont,4026
10067,Ashtonfield,4382
10068,Asquith,3483
10069,Attunga,766
10070,Auburn (NSW),33109
10071,Austinmer,2469
10072,Austral,3026
10073,Avalon (NSW),10614
10074,Avoca Beach,4317
10075,Awaba,359
10076,Aylmerton,248
10077,Baan Baa,523
10078,Backmede,274
10079,Badgerys Creek,454
10080,Balaclava (NSW),418
10081,Balala,319
10082,Balcolyn,826
10083,Bald Hills (NSW),291
10084,Balgowlah,7495
10085,Balgowlah Heights,3266
10086,Balgownie,5443
10087,Balladoran,223
10088,Ballimore,189
10089,Ballina,7871
10090,Balmain,9790
10091,Balmain East,1856
10092,Balmoral (Lake Macquarie - NSW),729
10093,Balmoral (Wingecarribee - NSW),362
10094,Balranald,1621
10095,Bandon Grove,279
10096,Bangalee (NSW),803
10097,Bangalow,1905
10098,Bangheet,324
10099,Bangor (NSW),5619
10100,Banksia,3230
10102,Bankstown,30546
10104,Bannaby,209
10105,Bannister (NSW),331
10106,Banora Point,15051
10107,Bar Beach,1126
10108,Bar Point,360
10109,Baradine,760
10110,Barangaroo,109
10112,Barden Ridge,4041
10113,Bardwell Park,2269
10114,Bardwell Valley,2210
10115,Barellan,639
10116,Bargo,4117
10117,Barham,1559
10118,Barkers Vale,358
10119,Barmedman,411
10120,Barnsley,1797
10121,Barooga,1498
10122,Barraba,1539
10123,Barrack Heights,6011
10124,Barrack Point,629
10125,Barrengarry,251
10126,Barrington (NSW),518
10127,Barry (Blayney - NSW),268
10128,Basin View,1404
10129,Bass Hill,8180
10130,Bateau Bay,11745
10131,Batehaven,1748
10132,Batemans Bay,1431
10133,Bathurst,6633
10134,Batlow,1416
10135,Baulkham Hills,33926
10136,Baw Baw (NSW),423
10137,Bawley Point,594
10138,Bayview (NSW),3089
10139,Beacon Hill,6909
10140,Beaconsfield (NSW),910
10141,Beaumont (NSW),197
10142,Beaumont Hills,7870
10143,Beckom,216
10144,Bedgerebong,221
10145,Beechwood,570
10146,Beecroft,8834
10148,Beelbangera,310
10149,Bega,4754
10150,Belbora,178
10151,Belfield,6035
10152,Belgravia,163
10153,Belimbla Park,546
10154,Bella Vista,7317
10155,Bellambi,4018
10156,Bellangry,209
10157,Bellata,408
10158,Bellawongarah,189
10159,Bellbird,2070
10160,Bellbird Heights,829
10161,Bellbrook,354
10162,Bellevue Hill,10768
10163,Bellingen,3673
10164,Belmont (NSW),6426
10165,Belmont North,6485
10166,Belmont South,1200
10167,Belmore,12567
10168,Belmore River,391
10169,Belrose,8292
10170,Bemboka,578
10171,Ben Lomond (NSW),436
10172,Bendalong,233
10173,Bendemeer,476
10174,Bendick Murrell,303
10175,Bendolba,229
10176,Benerembah,429
10177,Beni,439
10178,Bensville,2601
10179,Bentley (NSW),159
10180,Berala,8799
10181,Berambing,30
10182,Beresfield,3072
10183,Bergalia,188
10184,Berkeley,7424
10185,Berkeley Vale,8488
10186,Berkshire Park,1709
10187,Bermagui,1667
10188,Berowra,4619
10189,Berowra Creek,215
10190,Berowra Heights,5101
10191,Berrambool,681
10192,Berrara,297
10193,Berridale,1595
10194,Berrigan,1089
10195,Berrilee,333
10196,Berrima,601
10197,Berry,2418
10198,Bethungra,415
10199,Beverley Park,2103
10200,Beverly Hills,9638
10201,Bexhill,486
10202,Bexley,19058
10203,Bexley North,3992
10204,Bibbenluke,304
10205,Biddon,282
10206,Bidwill (NSW),4592
10207,Big Springs,570
10208,Bigga,297
10209,Bilambil,559
10210,Bilambil Heights,3275
10211,Bilbul,674
10212,Bilgola,3865
10213,Billinudgel,283
10214,Billywillinga,314
10215,Bilpin,934
10216,Binalong,462
10217,Binda,212
10218,Bingara,1336
10219,Bingie,279
10220,Biniguy,624
10221,Binjura,377
10222,Binna Burra (NSW),187
10223,Binnaway,779
10224,Binya,189
10225,Birchgrove,3101
10226,Birmingham Gardens,2126
10227,Birrong,2952
10228,Bishops Bridge,225
10229,Bithramere,175
10230,Black Head,754
10231,Black Hill (NSW),655
10232,Black Mountain (NSW),332
10233,Black Springs (NSW),356
10234,Blackalls Park,2762
10235,Blackbutt (NSW),3159
10236,Blackett,3415
10237,Blackheath (NSW),4570
10238,Blackmans Point,265
10239,Blacksmiths,1838
10240,Blacktown,43367
10241,Blackwall (NSW),1732
10242,Blair Athol (NSW),2704
10243,Blairmount,483
10244,Blakehurst,6099
10245,Blandford,322
10246,Blaxland (NSW),7329
10247,Blaxlands Ridge,465
10248,Blayney,3352
10249,Bligh Park,6482
10250,Blighty,397
10251,Blue Bay,1021
10252,Blue Haven,6171
10253,Blue Knob,168
10255,Boambee,1549
10256,Boambee East,5452
10257,Boat Harbour (Port Stephens - NSW),922
10258,Bobs Farm,498
10259,Bodalla,532
10260,Bogan Gate,305
10261,Bogangar,3111
10262,Boggabilla,1140
10263,Boggabri,1191
10264,Bolton Point,2294
10265,Bolwarra (NSW),1173
10266,Bolwarra Heights,2508
10267,Bomaderry,6569
10268,Bombala,1206
10269,Bombira,199
10270,Bombo,30
10271,Bombowlee,268
10272,Bomen,32
10273,Bomera,268
10274,Bonalbo,547
10275,Bondi,9628
10276,Bondi Beach,10769
10277,Bondi Junction,8648
10278,Bonnells Bay,3124
10279,Bonnet Bay,2123
10280,Bonny Hills,2861
10281,Bonnyrigg,7991
10282,Bonnyrigg Heights,7212
10283,Bonville,2257
10284,Booerie Creek,334
10285,Booker Bay,1136
10286,Bookham,155
10287,Boolambayte,206
10288,Boolaroo,931
10289,Booligal,164
10290,Boomanoomana,317
10291,Boomerang Beach,436
10292,Booragul,1412
10293,Booral (NSW),397
10294,Boorolong,181
10295,Boorooma,110
10296,Boorowa,1616
10297,Bootawa,385
10298,Bora Ridge,212
10299,Borambola,354
10300,Boree Creek,210
10301,Borenore,434
10302,Bossley Park,14035
10303,Botany,8911
10306,Bourke,2462
10307,Bourkelands,2299
10308,Bournda,123
10309,Bow Bowing,1590
10310,Bowan Park,498
10311,Bowen Mountain,1457
10312,Bowenfels,1786
10313,Bowman,412
10314,Bowning,712
10315,Bowral,8032
10316,Bowraville,1209
10318,Box Hill (NSW),1178
10319,Boydtown,159
10320,Bradbury (NSW),8731
10321,Braemar,310
10322,Braidwood,1504
10323,Brandy Hill,671
10324,Branxton,1821
10325,Braunstone,293
10326,Bray Park (NSW),837
10327,Breadalbane (NSW),274
10328,Breakfast Creek,274
10329,Breakfast Point,2749
10330,Bream Beach,124
10331,Bredbo,501
10332,Brewarrina,1255
10333,Brewongle,189
10334,Bribbaree,268
10335,Bridgman,398
10336,Brierfield,339
10337,Brighton-le-Sands,8002
10338,Brightwaters,877
10339,Bringelly,2390
10340,Brisbane Grove,219
10341,Broadmeadow,1549
10342,Broadwater (Richmond Valley - NSW),434
10343,Broadway,226
10344,Brocklehurst,473
10345,Brocklesby,224
10346,Brogo,507
10347,Broke (NSW),639
10348,Broken Head,226
10349,Broken Hill,18783
10350,Bronte,6832
10351,Brookdale (NSW),272
10352,Brookfield (NSW),235
10353,Brooklet,261
10354,Brooklyn (NSW),745
10355,Brookvale,2587
10356,Brooms Head,193
10357,Broughton Vale,444
10358,Broulee,1432
10359,Brownlow Hill,363
10360,Brownsville,524
10361,Bruah,172
10362,Brungle,308
10363,Brunswick Heads,1644
10364,Brushgrove,336
10365,Bucca (NSW),520
10366,Buckajo,401
10367,Budgee Budgee (NSW),325
10368,Budgewoi,3255
10370,Buff Point,3287
10371,Bugaldie,238
10372,Bukkulla,397
10373,Bulahdelah,1520
10374,Bulga (NSW),359
10375,Bullaburra,1208
10376,Bulli,5678
10377,Bundabah,289
10378,Bundaburrah,291
10379,Bundagen,130
10380,Bundanoon (NSW),2423
10381,Bundarra,799
10382,Bundeena,1890
10383,Bundook,193
10384,Bungarby,213
10385,Bungendore,3558
10386,Bunglegumbie,165
10387,Bungonia,353
10388,Bungowannah,209
10389,Bungwahl,254
10390,Bunnan,211
10391,Bunyan,373
10392,Burnt Bridge,85
10393,Buronga,1136
10394,Burra (Palerang - NSW),716
10395,Burrabadine,397
10396,Burradoo,2556
10397,Burraga,250
10399,Burraneer,3303
10400,Burrangong,238
10401,Burrawang,239
10402,Burrell Creek,247
10403,Burren Junction,301
10404,Burrill Lake,1328
10405,Burringbar,858
10406,Burroway,363
10407,Burrumbuttock,337
10408,Burrundulla,160
10409,Burwood (NSW),12475
10410,Burwood Heights,810
10411,Busby,4207
10412,Buttaba,944
10413,Buxton (NSW),2055
10414,Byabarra,328
10415,Byangum,335
10416,Byron Bay,4967
10417,Byrrill Creek,220
10418,Bywong,1197
10419,Cabarita (NSW),1930
10420,Cabbage Tree Island (Ballina - NSW),99
10421,Cabramatta,20778
10422,Cabramatta West,6773
10423,Cabramurra,365
10424,Caffreys Flat,213
10425,Calala,3450
10426,Calarie,280
10427,Calderwood,175
10428,Calimo,229
10430,Callala Bay,2118
10431,Callala Beach,772
10432,Calliope (NSW),407
10433,Camberwell (NSW),181
10434,Cambewarra,210
10435,Cambewarra Village,1231
10436,Cambridge Gardens,2040
10437,Cambridge Park,6161
10438,Camden,3253
10439,Camden Head,164
10440,Camden Park (NSW),1825
10441,Camden South,4338
10442,Cameron Park,5172
10443,Cammeray,6778
10444,Campbelltown (NSW),10413
10445,Camperdown (NSW),7860
10446,Campsie,21239
10447,Canada Bay,1297
10448,Candelo,734
10449,Cangai,184
10450,Caniaba,582
10451,Canley Heights,10451
10452,Canley Vale,9292
10453,Canobolas,513
10454,Canoelands,301
10455,Canowindra,2392
10456,Canterbury (NSW),6160
10457,Canton Beach,1081
10458,Canyonleigh,193
10459,Capertee,370
10460,Captains Flat,747
10461,Caragabal,213
10462,Carcoar,690
10463,Cardiff (NSW),5780
10464,Cardiff Heights,1281
10465,Cardiff South,2964
10466,Carey Bay,930
10467,Cargo,541
10468,Carinda,183
10469,Caringbah,10941
10470,Caringbah South,11584
10471,Carlingford,21556
10472,Carlton (NSW),9804
10473,Carool,460
10474,Caroona,90
10475,Carramar (NSW),3434
10476,Carrathool,295
10477,Carrington (Newcastle - NSW),1879
10478,Carroll,178
10479,Carrs Creek,375
10480,Carss Park,1211
10481,Cartwright,2253
10482,Cartwrights Hill,177
10483,Carwoola,1419
10484,Casino,10571
10485,Cassilis (NSW),348
10486,Castle Cove,2525
10487,Castle Doyle,456
10488,Castle Hill (NSW),37906
10489,Castle Rock,326
10490,Castlecrag,2965
10491,Castlereagh,1056
10492,Casuarina (NSW),1660
10493,Casula,14705
10494,Catalina,2390
10495,Catherine Field,1585
10496,Catherine Hill Bay,434
10497,Cattai,683
10498,Caves Beach,3921
10499,Cawdor (NSW),459
10500,Cawongla,220
10501,Cecil Hills,6860
10502,Cecil Park,1478
10503,Cedar Party,329
10504,Centennial Park (NSW),2107
10505,Central Mangrove,287
10506,Central Tilba,391
10507,Cessnock,13654
10508,Chain Valley Bay,2444
10509,Charbon,232
10511,Charlestown (NSW),12414
10512,Charmhaven,2329
10513,Chatswood,21204
10514,Chatswood West,1429
10515,Chatsworth (NSW),216
10516,Cheltenham (NSW),2064
10517,Cherrybrook,18805
10518,Chester Hill,11769
10519,Chifley (NSW),3146
10520,Chilcotts Grass,181
10521,Chillingham,285
10522,Chinderah,1476
10523,Chippendale,4051
10524,Chipping Norton,8841
10525,Chisholm (NSW),183
10526,Chiswick,2470
10527,Chittaway Bay,1895
10528,Chittaway Point,895
10529,Church Point,1125
10530,Clandulla,208
10531,Claremont Meadows,4161
10532,Clarence,224
10533,Clarence Town,1662
10534,Clarendon (NSW),118
10535,Clarenza,559
10536,Claymore,3303
10537,Clemton Park,1573
10538,Cliftleigh,180
10539,Clifton Grove,816
10540,Clontarf (NSW),1693
10541,Clothiers Creek,360
10542,Clovelly,4587
10543,Clunes (NSW),949
10544,Clybucca,464
10546,Coal Point,1726
10547,Coalcliff,196
10548,Cobaki,227
10549,Cobar,3828
10550,Cobargo,639
10551,Cobbitty,1062
10552,Coffee Camp,234
10553,Coffs Harbour,24587
10554,Coleambally,1312
10556,Coledale,1165
10557,Collarenebri,762
10558,Collaroy (NSW),14391
10559,Collector,404
10560,Collendina,233
10561,Collie (NSW),156
10562,Collingullie,136
10563,Collombatti,602
10564,Colo Heights,329
10565,Colo Vale,1721
10567,Colyton,7999
10568,Comberton,77
10569,Comboyne,451
10570,Come By Chance,117
10571,Como (NSW),3789
10572,Comobella,59
10573,Conargo,245
10574,Concord,14135
10575,Concord West,5839
10576,Condell Park,10419
10577,Condobolin,3742
10578,Condong,298
10579,Congarinni,522
10580,Congarinni North,347
10581,Congewai,253
10582,Congo,224
10583,Coniston,2184
10584,Conjola Park,337
10585,Connells Point,2702
10586,Constitution Hill,4257
10587,Coogee (NSW),14021
10588,Cookamidgera,215
10589,Cookardinia,241
10590,Cooks Gap,489
10591,Cooks Hill,3625
10592,Cooks Myalls,385
10593,Coolac,365
10594,Coolagolite,261
10595,Coolah,1277
10596,Coolamon,2131
10597,Coolangatta (NSW),290
10598,Coolongolook,416
10599,Cooma (NSW),6660
10600,Coomba Bay,257
10601,Coomba Park,443
10602,Coomealla,863
10603,Coonabarabran,3167
10604,Coonamble,3007
10605,Cooperabung,373
10606,Coopernook,519
10607,Coopers Gully,273
10608,Coopers Shoot,320
10609,Coorabell,422
10610,Cooranbong,5019
10611,Cootamundra,6708
10612,Cooyal,435
10613,Copacabana,2682
10614,Copmanhurst,485
10615,Coraki,1481
10616,Coralville,94
10617,Coramba,771
10618,Corbie Hill,296
10619,Cordeaux Heights,4729
10620,Coreen,397
10621,Corindi Beach,1449
10622,Corlette,4628
10623,Corndale (NSW),351
10624,Corowa,5594
10625,Corrimal,6341
10626,Cottage Point,115
10627,Courabyra,244
10628,Couridjah,276
10629,Coutts Crossing,1044
10630,Cowan,544
10631,Cowra,9739
10632,Coxs Creek,161
10633,Crabbes Creek,293
10634,Cranebrook,14719
10636,Craven,268
10637,Cremorne (NSW),11060
10638,Cremorne Point,1980
10639,Crescent Head,1592
10640,Crestwood,4443
10641,Cringila,2120
10642,Cromer (NSW),7172
10643,Cronulla,17033
10644,Crookwell,2516
10645,Crosslands,425
10646,Croudace Bay,543
10648,Crowdy Head,220
10649,Crows Nest (NSW),4050
10650,Croydon (NSW),10387
10651,Croydon Park (NSW),10722
10652,Crystal Creek (NSW),393
10653,Cudal,653
10654,Cudgen,852
10655,Cudgera Creek,388
10656,Cudmirrah,260
10657,Culburra Beach,2679
10658,Culcairn,1427
10659,Cullen Bullen,182
10660,Cumbalum,1221
10661,Cumberland Reach,195
10662,Cumboogle,260
10663,Cumborah,361
10664,Cumnock,614
10665,Cundletown,2065
10666,Cunjurong Point,192
10667,Curl Curl,2413
10668,Curlewis (NSW),969
10669,Curlwaa,414
10670,Currabubula,321
10671,Curramore (NSW),227
10672,Currans Hill,5015
10673,Currarong,448
10674,Currawarna,225
10675,Daceyville,1165
10676,Daleys Point,585
10677,Dalgety,215
10678,Dalmeny,1929
10679,Dalton,107
10680,Dalwood (Ballina - NSW),257
10681,Dandry,163
10682,Dangar Island,267
10683,Dapto,10722
10684,Darawank,325
10685,Darbys Falls,319
10686,Dareton,517
10687,Dargan,103
10688,Darkes Forest,259
10689,Darkwood,244
10690,Darling Point,3931
10691,Darlinghurst,10033
10692,Darlington (Singleton - NSW),492
10693,Darlington (Sydney - NSW),2248
10694,Darlington Point,1210
10695,Daruka,816
10696,Davidson,2413
10697,Davistown,2402
10698,Dawes Point,541
10699,Dean Park,3097
10700,Dee Why,19844
10701,Deepwater (NSW),319
10702,Deer Vale,256
10703,Delegate,453
10704,Delroy Heights,471
10705,Delungra,555
10706,Denham Court,1589
10707,Denhams Beach,542
10708,Deniliquin,7496
10709,Denistone,3567
10710,Denistone East,2097
10711,Denistone West,913
10712,Denman,1793
10713,Deua River Valley,311
10714,Dharruk,2756
10715,Diamond Beach,846
10716,Dignams Creek,158
10717,Dolans Bay,555
10718,Dolls Point,1775
10719,Dolphin Point,216
10720,Dondingalong,689
10721,Doonbah,243
10722,Doonside,13100
10723,Dooralong,387
10724,Dora Creek,1674
10725,Dorrigo,1517
10726,Double Bay,4682
10727,Doubtful Creek,262
10728,Douglas Park,1271
10729,Dover Heights,3924
10730,Downside,417
10731,Doyalson,306
10732,Doyalson North,403
10733,Drake,397
10734,Drummoyne,11374
10735,Dubbo,32335
10736,Duckenfield,357
10737,Duckmaloi,197
10738,Dudley,2266
10739,Duffys Forest,433
10740,Dulguigan,322
10741,Dulwich Hill,12964
10742,Dumaresq Island,70
10743,Dunbible,330
10744,Dunbogan,962
10745,Dundas (NSW),3889
10746,Dundas Valley,4635
10747,Dundee,209
10748,Dundurrabin,186
10749,Dunedoo,1252
10750,Dungay,317
10751,Dungog,2124
10752,Dungowan,523
10753,Dunmore (NSW),265
10754,Dunoon,822
10755,Duns Creek,490
10756,Dural (Hornsby - NSW),7351
10757,Duranbah,263
10758,Duri,536
10759,Durras North,287
10760,Dyers Crossing,339
10761,Eagle Vale,5715
10762,Eagleton,235
10763,Earlwood,16743
10764,East Albury,6246
10765,East Ballina,5318
10766,East Bowral,1575
10767,East Branxton,1724
10768,East Coraki,428
10769,East Corrimal,3168
10770,East Gosford,3911
10771,East Gresford,315
10772,East Hills,3271
10773,East Jindabyne,552
10774,East Kempsey,1319
10775,East Killara,2868
10776,East Kurrajong,2118
10777,East Lindfield,3625
10778,East Lismore,4987
10779,East Maitland,11021
10780,East Ryde,2335
10781,East Seaham,357
10782,East Tamworth,5228
10783,East Wagga Wagga,253
10784,Eastern Creek,803
10785,Eastgardens,809
10786,Eastlakes,6922
10787,Eastwood (NSW),16163
10788,Eatonsville,395
10789,Ebenezer (NSW),968
10790,Ebor,305
10791,Eden,3052
10792,Eden Creek,559
10793,Edensor Park,9449
10794,Edgecliff,1977
10795,Edgeworth,6253
10796,Edith (NSW),222
10797,Edmondson Park,423
10798,Eglinton (NSW),2105
10799,Elands,402
10800,Elanora Heights,3865
10801,Elderslie (Camden - NSW),4262
10802,Eleebana,5487
10803,Elermore Vale,5180
10804,Elizabeth Bay,5094
10805,Elizabeth Beach,231
10807,Ellalong,792
10808,Elland,556
10809,Ellangowan (NSW),256
10810,Ellenborough,293
10811,Ellerslie (Wentworth - NSW),376
10812,Ellis Lane,811
10813,Elrington,277
10814,Elsmore,569
10815,Eltham (NSW),350
10816,Emerald Beach,2140
10817,Emerald Hill,256
10818,Emerton,2397
10819,Emmaville,696
10820,Empire Bay,2277
10821,Empire Vale,394
10822,Emu Heights (NSW),3358
10823,Emu Plains,8115
10824,Enfield (NSW),2706
10825,Engadine,16858
10826,Englorie Park,377
10827,Enmore (Marrickville - NSW),3569
10828,Enngonia,212
10829,Epping (NSW),20239
10830,Eraring,275
10831,Erina,4635
10832,Erina Heights,423
10833,Ermington,9479
10834,Erowal Bay,554
10835,Erskine Park,6665
10836,Erskineville,6848
10837,Eschol,340
10838,Eschol Park,2649
10839,Estella,1881
10840,Ettalong Beach,4633
10841,Ettrick (NSW),231
10842,Euabalong,380
10843,Eugowra,912
10844,Eulah Creek,189
10845,Eulomogo,760
10846,Eumungerie,425
10847,Eungai Creek,376
10848,Eungai Rail,281
10849,Eungella (NSW),284
10850,Eureka (NSW),305
10851,Eurobodalla,221
10852,Euroka,325
10853,Euston,797
10854,Evans Head,2730
10855,Evans Plains,232
10856,Eveleigh,471
10857,Eviron,283
10858,Ewingar,253
10859,Ewingsdale,712
10860,Exeter (NSW),831
10861,Failford,497
10862,Fairfield (NSW),17037
10863,Fairfield East,5068
10864,Fairfield Heights,6644
10865,Fairfield West,10744
10866,Fairlight,5491
10867,Fairy Hill,300
10868,Fairy Meadow,6588
10869,Falls Creek (NSW),957
10870,Far Meadow,285
10871,Farley,235
10872,Farmborough Heights,4178
10873,Fassifern (NSW),618
10874,Faulconbridge,3983
10875,Faulkland,239
10876,Fawcetts Plain,374
10877,Federal (NSW),720
10878,Fennell Bay,1465
10879,Fern Bay,1628
10881,Fernhill,1024
10882,Fernleigh,276
10883,Fernmount,376
10884,Fernvale (NSW),237
10886,Fiddletown,241
